,AIBeta_3_0.35,AIBeta_3_0.40,AIBeta_3_0.45,AIBeta_3_0.50,AIBeta_4_0.35,AIBeta_4_0.40,AIBeta_4_0.45,AIBeta_4_0.50,AIBeta_5_0.35,AIBeta_5_0.40,AIBeta_5_0.45,AIBeta_5_0.50,AIBeta_6_0.35,AIBeta_6_0.40,AIBeta_6_0.45,AIBeta_6_0.50,AIBeta_7_0.35,AIBeta_7_0.40,AIBeta_7_0.45,AIBeta_7_0.50,AIBeta_8_0.35,AIBeta_8_0.40,AIBeta_8_0.45,AIBeta_8_0.50,AIBeta_9_0.35,AIBeta_9_0.40,AIBeta_9_0.45,AIBeta_9_0.50,AIBeta_10_0.35,AIBeta_10_0.40,AIBeta_10_0.45,AIBeta_10_0.50,AIBeta_11_0.35,AIBeta_11_0.40,AIBeta_11_0.45,AIBeta_11_0.50,AIBeta_12_0.35,AIBeta_12_0.40,AIBeta_12_0.45,AIBeta_12_0.50
start,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00
end,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00
rf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_return,156.11532324474436,177.07070136765478,240.10728004302302,265.61520886263696,195.2417482287705,177.1559070793376,178.1019712296853,183.52607568557843,198.61857128392043,211.68980593036827,206.93096137361331,213.52950189723094,221.3250182350909,244.7107276150468,237.64559495490735,251.7017858284107,206.5689564104289,191.58294004448774,190.7061119619722,247.46875018271191,185.96033259036912,183.43216666703884,188.11866834861863,187.72880092484908,238.08757646771977,206.77984763526666,198.70432262500955,180.98133762415887,243.2425129657264,213.12450986838422,192.4823727075022,183.01930251387657,221.6258984270292,220.45980012564098,228.89427135615642,230.28208348944176,204.58044597746925,180.35056704591028,171.84838168779388,160.52711210857066
cagr,0.15582088818265727,0.15997220075615748,0.170082725462668,0.17345712415350367,0.163204256644097,0.15998809107727663,0.16016403165264403,0.161155656899594,0.16377268888328178,0.165888331892726,0.16513309125428322,0.1661759049119138,0.16736846410074246,0.17071660020468826,0.16973892121865286,0.17165751102567772,0.1650749548520929,0.16257753117384355,0.16242561972733327,0.17109086464217382,0.1615915112586641,0.161138730790777,0.16197337572895854,0.1619047125846671,0.16980090228362088,0.16510883501739104,0.16378700177239613,0.16069400869195682,0.17051569532496114,0.16611280455969513,0.1627326624318619,0.1610642169413823,0.16741367443122313,0.16723812426241835,0.16848816085222418,0.16868956409455227,0.16475384186808584,0.16057860910926336,0.158983896209566,0.15673782913296308
max_drawdown,-0.2938209837288366,-0.2890545686476488,-0.3076951716116977,-0.32412021394703516,-0.33629968995729276,-0.30528756506148236,-0.30783179698512864,-0.32396352555082686,-0.3343907545578684,-0.35487485809845887,-0.34800494700187634,-0.34842706226982567,-0.2758603328506527,-0.32868689527975137,-0.3450250265196537,-0.33534976729790367,-0.2683239802008375,-0.29033759729565534,-0.3198698655670207,-0.324170660784441,-0.268392721301845,-0.28935742276574583,-0.31342836077184155,-0.33473082497174744,-0.2684907725949992,-0.28944994816810565,-0.30940523120704744,-0.33567886473367614,-0.26876499075434757,-0.28944925427830204,-0.31080284564261207,-0.3383135389936933,-0.26866616586621406,-0.28977909728145934,-0.30784139750407924,-0.3245839045833451,-0.2685654736521731,-0.2891483064267122,-0.30785618417673866,-0.32466092700995375
calmar,0.53032593589865,0.553432528344363,0.552763712773847,0.5351629324231179,0.48529410379421567,0.5240570183232205,0.5202972312193648,0.4974500034396933,0.4897644048198106,0.46745585974056475,0.4745136317082092,0.47693168214134124,0.6067145006721704,0.5193897373346397,0.4919611859198973,0.5118760403766375,0.6152076110697827,0.5599603106458455,0.5077865632619308,0.5277802260949876,0.6020711384230572,0.5568847318675131,0.5167795770940657,0.48368629509496913,0.6324273294105137,0.5704227486041896,0.5293608034144495,0.4787135133439207,0.6344416169917505,0.5738926672099132,0.5235880710660737,0.4760797259857365,0.6231289819894517,0.5771228008898853,0.5473213226625621,0.5197101942287992,0.6134587578500998,0.5553503359355272,0.5164226167316299,0.48277392224706384
mtd,-0.015186740094372597,-0.014050213592273209,-0.013181225123823137,-0.012443575312412358,-0.014345851351228123,-0.013241565564941049,-0.012621845159468403,-0.012121880465112422,-0.014344350030361719,-0.012743438006315944,-0.012174408362767952,-0.011718212384512317,-0.016548306834097026,-0.018167817495275074,-0.019722709292815388,-0.019049900774003148,-0.016551739646171848,-0.018169751153786717,-0.017406924522486822,-0.016837693782212115,-0.016545477732816782,-0.018166736412487006,-0.019789207237696393,-0.01895727788552204,-0.017185816184613345,-0.01746985557137637,-0.015920577186355755,-0.014953377404220092,-0.019278090419576732,-0.018033351457999558,-0.016694691074235823,-0.015850524871842686,-0.021024806364090765,-0.02156130299863268,-0.019685140405049983,-0.018544162613018722,-0.02430909304766271,-0.024856195365548728,-0.022287527894244152,-0.01956757293741007
three_month,-0.008151836916854616,-0.011317941452456792,-0.010927850676068607,-0.010175674927467071,0.012428005395128672,0.020083235564941848,0.01959017637042426,0.019157452554036558,0.012516732978041789,0.01643958356813502,0.018006160812194638,0.020850174460206095,0.010180202900540669,0.01857504193583126,0.022978014915933098,0.024567906557990238,-0.000862534771530421,0.002338685164364529,0.008503432988918869,0.014194591468618123,-0.01168510072844342,-0.006029904820507137,-0.0009626736945060888,0.006499812617953404,-0.01763490389441802,-0.012255964363331762,-0.004269904373792821,0.0019463978845550844,-0.02185125137273458,-0.019750454115115113,-0.019418623157173798,-0.019198246423716037,-0.03713776548363279,-0.03644571450695533,-0.031947232173513695,-0.02568586639159598,-0.032512370551667225,-0.028515954086950734,-0.020998157746282553,-0.012478948231751885
six_month,0.04467543320573508,0.03501086127722264,0.03277133806646382,0.030423708142691464,0.0641181602750136,0.06681313245698983,0.06408508119928791,0.06297131518886467,0.08287086351623119,0.08354797266592273,0.08056748883667719,0.07863662913732616,0.08387066840516733,0.07843472797513074,0.07780582956487447,0.07668829694091062,0.04941918615227614,0.050003914679435324,0.0539437620676777,0.05167243504538255,0.06263254550124331,0.06180596086233048,0.06988205737640407,0.08109674834870106,0.05451480908370243,0.055568310409263466,0.0678014372981961,0.07773575405376976,0.051004747669511685,0.042722324518735144,0.0439561215799491,0.04546161797484638,0.030722800085663193,0.024539278421861432,0.029563471717712675,0.037747407823268464,0.026525551453305374,0.03228920523108658,0.03496108525409847,0.04326807753614448
